URL,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Max Temperature,Wind Speed
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=thompson&units=imperial,thompson,75,CA,1505088000,60,55.74,-97.86,71.6,12.75
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=avarua&units=imperial,avarua,40,CK,1505088000,78,-21.21,-159.78,80.6,10.29
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=khatanga&units=imperial,khatanga,88,RU,1505089539,96,71.97,102.5,37.75,13.56
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=mataura&units=imperial,mataura,0,IN,1505089539,75,27.5,77.68,79.69,2.82
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=canavieiras&units=imperial,canavieiras,88,BR,1505089539,92,-15.68,-38.95,71.5,6.51
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=hithadhoo&units=imperial,hithadhoo,24,MV,1505089540,100,-0.6,73.08,82.03,11.77
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=khotyn&units=imperial,khotyn,0,UA,1505088000,100,48.48,26.5,60.8,6.4
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=itarema&units=imperial,itarema,0,BR,1505089540,75,-2.88,-39.95,80.32,19.48
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=provideniya&units=imperial,provideniya,90,RU,1505088000,93,64.38,-173.3,42.8,4.47
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=hermanus&units=imperial,hermanus,8,ZA,1505089540,87,-34.42,19.23,46.39,5.17
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=angoche&units=imperial,angoche,0,MZ,1505088996,100,-16.23,39.91,74.29,8.75
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=busselton&units=imperial,busselton,48,AU,1505089540,100,-33.65,115.33,57.37,9.75
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=waipawa&units=imperial,waipawa,88,NZ,1505088000,62,-41.41,175.52,51.8,19.46
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=mar del plata&units=imperial,mar del plata,90,AR,1505085720,100,-38,-57.56,55.4,5.82
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=chapayeve&units=imperial,chapayeve,0,UA,1505088000,67,49.37,35.87,57.2,6.71
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kodiak&units=imperial,kodiak,90,US,1505087580,81,57.79,-152.41,53.6,4.7
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kavieng&units=imperial,kavieng,48,PG,1505089541,100,-2.57,150.8,83.65,11.77
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=yellowknife&units=imperial,yellowknife,90,CA,1505088000,87,62.46,-114.35,51.8,6.93
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=amderma&units=imperial,amderma,92,RU,1505089542,80,69.75,61.65,39.19,13.11
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=ushuaia&units=imperial,ushuaia,40,AR,1505084400,52,-54.8,-68.3,44.6,14.45
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=tura&units=imperial,tura,92,IN,1505089542,98,25.52,90.22,72.94,2.82
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=namtsy&units=imperial,namtsy,20,RU,1505089475,88,62.72,129.67,49.81,3.15
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=nanortalik&units=imperial,nanortalik,92,GL,1505089511,92,60.14,-45.24,40.9,11.1
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=mahebourg&units=imperial,mahebourg,75,MU,1505084400,69,-20.41,57.7,73.4,14.99
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=balikpapan&units=imperial,balikpapan,80,ID,1505089370,99,-1.27,116.83,82.12,8.97
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=lebu&units=imperial,lebu,80,CL,1505089543,100,-37.62,-73.65,49.27,9.19
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=birjand&units=imperial,birjand,0,IR,1505084400,41,32.87,59.22,59,5.73
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=camana&units=imperial,camana,20,PE,1505089543,100,-16.62,-72.71,57.73,13.22
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=codrington&units=imperial,codrington,92,AU,1505089543,85,-38.27,141.97,58.18,13.78
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=sovetskaya gavan&units=imperial,sovetskaya gavan,64,RU,1505089543,100,48.97,140.29,55.93,4.72
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=cap malheureux&units=imperial,cap malheureux,75,MU,1505084400,69,-19.98,57.61,73.4,14.99
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=esperance&units=imperial,esperance,92,AU,1505089544,78,-33.87,121.9,57.28,2.15
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=upernavik&units=imperial,upernavik,88,GL,1505089544,100,72.79,-56.15,38.29,15.68
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=soyo&units=imperial,soyo,8,AO,1505089544,88,-6.13,12.37,71.23,5.06
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=bathsheba&units=imperial,bathsheba,40,BB,1505088000,83,13.22,-59.52,82.4,17.22
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=samusu&units=imperial,samusu,88,CN,1505089544,83,41.43,128.03,57.37,1.36
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=harper&units=imperial,harper,92,LR,1505089545,100,4.38,-7.72,77.35,9.19
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=cabo san lucas&units=imperial,cabo san lucas,20,MX,1505087340,70,22.89,-109.91,87.8,8.05
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=ayer itam&units=imperial,ayer itam,90,IT,1505087700,100,46.34,11.3,44.6,11.41
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=faanui&units=imperial,faanui,68,PF,1505089545,100,-16.48,-151.75,78.7,9.64
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=sentyabrskiy&units=imperial,sentyabrskiy,88,RU,1505089263,83,60.75,72.86,40,8.75
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=sitka&units=imperial,sitka,90,US,1505087760,71,57.05,-135.33,57.2,6.93
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=southbridge&units=imperial,southbridge,1,US,1505087880,67,42.08,-72.03,66.2,8.05
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=hilo&units=imperial,hilo,90,US,1505087760,65,19.73,-155.09,82.4,9.17
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=norman wells&units=imperial,norman wells,90,CA,1505088000,93,65.28,-126.83,48.2,8.05
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=mirnyy&units=imperial,mirnyy,80,RU,1505089546,95,62.54,113.96,39.19,7.18
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=wiang sa&units=imperial,wiang sa,90,TH,1505088000,100,8.64,99.37,77,6.93
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=tshikapa&units=imperial,tshikapa,0,CD,1505089546,97,-6.42,20.8,68.8,2.15
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=louisbourg&units=imperial,louisbourg,0,DE,1505087400,93,48.9,9.19,48.2,3.36
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=chuy&units=imperial,chuy,68,UY,1505089547,89,-33.7,-53.46,67.45,20.94
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=cape town&units=imperial,cape town,75,ZA,1505088000,77,-33.93,18.42,59,17.22
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=olinda&units=imperial,olinda,40,BR,1505088000,69,-8.01,-34.86,77,13.87
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=saint george&units=imperial,saint george,1,US,1505087760,26,37.1,-113.58,93.2,5.82
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kattivakkam&units=imperial,kattivakkam,40,IN,1505088000,94,13.22,80.32,80.6,6.73
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=butaritari&units=imperial,butaritari,12,KI,1505089609,100,3.07,172.79,81.94,8.3
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=longyearbyen&units=imperial,longyearbyen,20,SJ,1505087400,70,78.22,15.64,42.8,19.46
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kelowna&units=imperial,kelowna,1,CA,1505088000,23,49.88,-119.49,77,4.7
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=pacific grove&units=imperial,pacific grove,1,US,1505087700,54,36.62,-121.92,96.8,4.7
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kuala krai&units=imperial,kuala krai,90,MY,1505088000,100,5.8,102.15,73.4,2.24
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=rikitea&units=imperial,rikitea,76,PF,1505089610,100,-23.12,-134.97,68.35,12.44
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=pevek&units=imperial,pevek,92,RU,1505089611,100,69.7,170.31,38.65,13.22
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=severo-kurilsk&units=imperial,severo-kurilsk,92,RU,1505089611,100,50.68,156.12,49.45,1.92
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=hofn&units=imperial,hofn,0,IS,1505089611,97,64.25,-15.21,48.73,21.61
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=nyeri&units=imperial,nyeri,92,KE,1505089611,99,-0.42,36.95,58.45,3.94
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kegayli&units=imperial,kegayli,64,LK,1505089611,96,7.25,80.52,69.52,3.27
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=touros&units=imperial,touros,20,BR,1505089612,82,-5.2,-35.46,76.72,18.03
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=korla&units=imperial,korla,0,CN,1505089612,76,41.76,86.15,50.35,4.38
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=kapaa&units=imperial,kapaa,1,US,1505087760,58,22.08,-159.32,86,10.29
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=albany&units=imperial,albany,20,US,1505087760,72,42.65,-73.76,60.8,3.38
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=klaksvik&units=imperial,klaksvik,92,FO,1505087400,93,62.23,-6.59,50,10.29
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=ponta do sol&units=imperial,ponta do sol,40,PT,1505088000,83,32.67,-17.1,71.6,6.93
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=puerto ayora&units=imperial,puerto ayora,20,EC,1505088000,64,-0.74,-90.35,71.6,16.11
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=yarmouth&units=imperial,yarmouth,1,US,1505088900,93,41.71,-70.23,57.2,4.72
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=bluff&units=imperial,bluff,92,NZ,1505089613,100,-46.6,168.33,48.91,25.75
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=tasiilaq&units=imperial,tasiilaq,68,GL,1505087400,80,65.61,-37.64,39.2,5.82
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=nikolskoye&units=imperial,nikolskoye,75,RU,1505088000,93,59.68,30.67,62.6,6.71
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=guerrero negro&units=imperial,guerrero negro,0,MX,1505089613,58,27.98,-114.06,81.22,9.86
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=new norfolk&units=imperial,new norfolk,75,AU,1505088000,81,-42.78,147.06,48.2,9.17
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=punta arenas&units=imperial,punta arenas,20,CL,1505084400,65,-53.15,-70.92,41,8.05
http://api.openweathermap.org/data/2.5/weather?appid=fc44486eb35f3bcb68068442135a879b&q=victoria&units=imperial,victoria,75,CA,1505088000,72,48.43,-123.37,69.8,4.7
